id,name,gameName,area,category,lat,lng,precision,priority,anime,status,statusNote,address,access,description,warnings,reliability,gmapsUrl,official,officialUrl,refImage,srcAnime,srcGame,guide,episodes
iwata,イワタコンフェクト跡（駄菓子屋）,空門蒼のバイト先,直島,商店・宿,34.46018890786716,133.9747664045317,high,,confirmed,closed,2023年2月末 閉店（60年の歴史）,香川県香川郡直島町宮ノ浦2310-1,宮浦港から徒歩約10分。,空門蒼のバイト先「駄菓子屋」。閉業済みだが建物は現存し、有志によるサマポケ関連イラスト展示・訪問者ノートあり。アニメ第1話・PVに登場。座標はYahoo Mapsの高精度値。,閉業済み・外観のみ,4,,true,https://summer-pockets.main.jp/2024/07/26/dagashiya/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/iwata-2.jpg,true,true,true,OP|2|3|11|14|ED
ishii,石井商店跡（民宿・食堂）,加藤家・主人公の滞在先,直島,商店・宿,34.46091419649652,133.9978907189466,high,,confirmed,closed,2024年12月31日 食堂閉店,香川県香川郡直島町本村845-1,本村地区。周辺に谷脇理髪店・木製の橋。,作中の「加藤家 / 思い出の食堂」、主人公の滞在先。カレーうどんと聖地巡礼ノートで知られた。食堂は閉店、民宿部門の別棟が継続運営中との報告あり。アニメ複数話に登場。座標はDMS変換値。,食堂は閉店・外観のみ,3,,true,https://summer-pockets.main.jp/2024/07/27/syokudo/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/syokudo.jpg,true,true,true,1|7|10|ED
dam,直島ダム（ため池）,しろはの「れいだ～ん」シーン,直島,ダム・水辺,34.45676494233219,133.9910526038287,high,,confirmed,caution,GPS精度低・現地実測推奨,香川県香川郡直島町宮ノ浦1537付近,"直島町立小中学校（34.45889, 133.98602）の西北西約100m。宮浦港から徒歩約50分。",鳴瀬しろはのキービジュアル背景。「れいだ～ん！」のシーン。公開座標データが極めて限定的なため、現地でのGPS実測を強く推奨。,座標は推定・現地GPS実測推奨|山林エリア・携帯信号要確認,2,,true,https://summer-pockets.main.jp/2024/07/26/tameike/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/tameike.jpg,true,true,true,3
gotanji,琴弾地海水浴場,浜辺・海の家シーン,直島,海・浜,34.44610121786039,133.9979956171619,high,,confirmed,open,,香川県香川郡直島町積浦,宮浦港から町営バスで終点下車。「ふるさと海の家つつじ荘」に隣接。,直島で唯一・最大の砂浜。夏シーン多数。アニメ第1話の「岩場・スイカオブジェ」が該当。西側の岩場がゲーム内シーンに最も合致との報告。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/26/hamabe/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/hamabe.jpg,true,true,true,
benzaiten,弁財天（祠）,しろはの釣りスポット・島の外れ,直島,神社・祠,34.45618529886659,134.00093348829938,high,,confirmed,caution,干潮時のみアクセス可,香川県香川郡直島町本村（バス停「役場前」から徒歩約1分）,干潮時のみ。弁財天の建物裏→波打ち際の岩場→木のトンネル→小島への海の道。,しろはの釣りシーンの舞台。四角い小建物で、裏側が撮影ポイント。本データ中で最も信頼性の高い座標（Google Maps リダイレクトURL解析）。,干潮時のみアクセス可・潮位カレンダー要確認|磯歩き・滑りにくい靴推奨,5,https://maps.app.goo.gl/Bo8qBRbJtDxH67D29,true,https://summer-pockets.main.jp/2024/07/27/shimanohazure/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/simahazure-6.jpg,true,true,true,8
ebisu-torii,恵美須神社鳥居,浜の鳥居,直島,神社・祠,34.46863739406484,133.97473227976255,high,,,open,,香川県香川郡直島町積浦（琴弾地海水浴場内）,琴弾地海水浴場内。座標は推定。,砂浜に半分埋まった鳥居。笠木の上に石を乗せると願いが叶うとされる。,座標は推定・現地確認推奨,2,,,,,,,true,
yama-jinja,山神社（精錬所内）,鳴瀬神社（モデル）,直島,神社・祠,34.45925328879456,133.9970319191954,high,,,caution,関係者以外 立入禁止,香川県香川郡直島町（三菱マテリアル直島精錬所構内）,精錬所構内のため敷地外からの観覧のみ。,しろはの実家の神社「鳴瀬神社」のモデル。アニメ版では八幡神社として描写。,精錬所構内・立入禁止／敷地外観覧のみ,3,,true,https://summer-pockets.main.jp/2024/07/26/jinjya/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/jinjya-3.jpg,true,,true,1|2
naoshima-sento,直島銭湯「I♥湯」,アニメ版新規,直島,アート・モニュメント,34.45801671309651,133.9750735528156,high,,new,open,,香川県香川郡直島町2252-2,宮浦港から徒歩約2分。,大竹伸朗作の実際に入浴できるアート銭湯（ベネッセアートサイト）。ゲーム版に対応施設はなく、アニメ版で新規に登場。,,4,,true,https://summer-pockets.main.jp/2025/05/22/anime07/,https://summer-pockets.main.jp/wp-content/uploads/2025/05/65.jpg,true,,true,7
hachiman,八幡神社,アニメ第1話の鳥居シーン,直島,神社・祠,34.45925328879456,133.9970319191954,high,,new,open,,香川県香川郡直島町（風戸）,座標未特定・一覧のみ掲載。,アニメ第1話の鳥居シーンに登場。ゲーム版「山神社」をアニメ版では八幡神社として描写したとされる。,座標未特定,2,,true,https://summer-pockets.main.jp/2025/04/12/anime01/,https://summer-pockets.main.jp/wp-content/uploads/2025/04/a010.jpg,,,,
kiunkaku,起雲閣（玉姫の間）,ヴェンダース家（紬の実家）,静岡,建築,35.74271166057227,139.7457466807058,high,,,open,入館料¥510,静岡県熱海市昭和町4-2,JR熱海駅から徒歩約15分。,1919年（大正8年）築の別荘。紬ヴェンダースの実家「洋館」のモデル。熱海市指定有形文化財。山本有三・太宰治・谷崎潤一郎らゆかりの文豪の地。,,5,,true,https://summer-pockets.main.jp/2024/07/30/wenders/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/tumugiheya-2.jpg,true,true,true,9
ryugu,龍宮窟（竜宮窟）,七ヶ浜・海賊船冒険の終着点,静岡,海・浜,34.64213287365651,138.9155339669345,high,,,open,,静岡県下田市田牛,伊豆急行「下田駅」→石廊崎港口行きバス「休暇村」下車徒歩10分。,波食洞窟。直径40mの天窓、上から見るとハート形。海賊船を探す冒険の終着点。ゆるキャン△聖地との重複あり。,,5,,true,https://summer-pockets.main.jp/2024/07/30/shichigahama/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/kaizokusen.jpg,true,true,true,5
miharashi,国営ひたち海浜公園「みはらしの丘」,迷い橘・現世と常世の境,茨城,公園,36.403012895007755,140.59742830306587,high,,,open,,茨城県ひたちなか市馬渡字大沼605-4,JR常磐線「勝田駅」下車→バスまたはタクシー。,ネモフィラの花畑（4月中旬〜GW）で有名な公園最高地点。「迷い橘 / 現世と常世の境目」のモデル。,,5,,true,https://summer-pockets.main.jp/2024/07/30/lost-tachibana/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/mayoi-2.jpg,true,true,true,
naoshima-shokudo,EAT LOCAL 直島食堂,海の家のモデル,直島,商店・宿,34.4568,133.9736,high,,,open,,香川県香川郡直島町2249-6,宮浦港から徒歩約3分。,宮浦港近くの飲食店。作中に登場する「海の家」のモデルとされる。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/26/uminoie/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/uminoie.jpg,,,,
naoshima-muramichi,直島 本村地区の村道,作中の村道シーン,直島,ランドマーク,34.46097630378888,133.9981186442761,high,,,open,,香川県香川郡直島町本村,石井商店跡周辺の路地。,本村地区の細い路地。作中に登場する「村道」のモデルとされる一帯。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/27/street/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/muramiti-1.jpg,true,true,true,19
naoshima-umi-kv,海のキービジュアル,作中「海」のキービジュアル背景,直島,海・浜,34.45521231689249,133.9993235199177,high,,,open,,香川県香川郡直島町積浦（琴弾地海水浴場付近）,琴弾地海水浴場周辺。,作中に登場する「海」のキービジュアルの背景とされる浜辺。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/27/umi-kv/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/umiimg.jpg,,,,
ogi-distant-view,鳥白島遠景ポイント,鳥白島（作品全体の舞台）の遠景,男木島,展望台,34.41231649736455,134.05678368637984,high,,,open,,香川県高松市男木町（男木港周辺）,男木港周辺・フェリー上から。,鳥白島（作品の舞台）全体のモデルとされる男木島の遠景。フェリーからも見える。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/27/torishirojima/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/torisirojima01.jpg,true,true,true,1
ogi-himitukichi,秘密基地跡地,羽依里たちの秘密基地,男木島,公共施設,34.4201,134.0571,high,,,closed,2021年頃 取り壊し済み,香川県高松市男木町1988（男木小中学校プール脇）,男木港から徒歩圏内・男木小中学校プール隣接。,作中の「秘密基地」のモデルとされた建物。2021年頃に取り壊され現存しない。座標は推定。,座標は推定・現地確認推奨|建物は現存せず,1,,true,https://summer-pockets.main.jp/2024/07/29/himitukichi/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/himitu.jpg,true,true,true,
ogi-port-road,男木港沿いの道,港沿いの道シーン,男木島,ランドマーク,34.41968270522776,134.058521060919,high,,,open,,香川県高松市男木町（男木港東側）,男木港東側の海沿いの道。,男木港東側、漁港沿いの道。作中の港沿いの道シーンのモデルとされる。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/29/port-road/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/umizoi02.jpg,true,true,true,
ogi-countryroad,灯台への田舎道,灯台へ向かう道,男木島,ランドマーク,34.42452137185618,134.0556867952733,high,,,open,,香川県高松市男木町（男木島灯台への道中）,男木港から男木島灯台へ向かう道の途中。,男木島灯台へ向かう途中の田舎道。作中シーンのモデルとされる。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/30/countryroad/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/inakamiti01.jpg,,true,true,
megi-mountainroad,秘密基地への山道,洞窟探索シーンへ続く山道,女木島,洞窟・自然,34.39332443079556,134.048916367546,high,,,open,,香川県高松市女木町（鬼ヶ島大洞窟周辺）,鬼ヶ島大洞窟・鷲ヶ峰展望台周辺の山道。,鬼ヶ島大洞窟へ向かう山道。作中の秘密基地探索シーンのモデルとされる。座標は推定。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2024/07/30/mountainroad/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/himitumiti.jpg,true,,true,11
naoshima0003,道に迷う羽依里,,直島,ランドマーク,34.46011286812662,133.9807031680101,high,,,open,,直島の中心部の路地,,,,3,,,,,true,,true,1
naoshima0008,この道もすっかり慣れたな,,直島,ランドマーク,34.45858011752291,133.9985212176664,high,,,open,,八幡神社の南,,,,3,,,,,true,,true,17
naoshima0011,海岸沿いにて,,直島,海・浜,34.45405349914841,133.9998665690025,high,,,open,,北風戸積浦線〈256号線〉沿い,,,,3,,,,,true,,true,14|15
naoshima0012,山の入り口,,直島,ランドマーク,34.45216685794816,133.9980247414966,high,,,open,,崇徳天皇宮南側の路地,,,,3,,,,,true,,true,12|14
naoshima0013,加藤家を目指して,,直島,海・浜,34.45203516884158,134.001528964728,high,,,open,,NAOSHIMA COFFEさんの南側海岸沿い,,,,3,,,,,true,,true,
naoshima0014,しろはの秘密のスポット,,直島,石碑,34.44991299859737,134.0092773102356,high,,,open,,火つかずの灯籠,,,,3,,,,,true,,true,OP|2|6
naoshima0016,OP1の鴎と遠景,,直島,ランドマーク,34.44819635341652,133.9828451942234,high,,,open,,地中海美術館西側の道路,,,,3,,,,,true,,true,OP
naoshima0017,鴎の初登場シーン,,直島,海・浜,34.44895844775631,133.9804403339337,high,,,open,,Manola’s point beachの海岸沿い,,,,3,,,,,true,,true,
ogijima002,鳥白島到着,,男木島,ランドマーク,34.4219925517143,134.0542995897153,high,,,open,,男木港から見える街並み,,,,3,,,,,true,,true,1
ogijima004,鳥白島の古い町並み,,男木島,商店・宿,34.42322253317745,134.0548779538152,high,,,open,,お食事処・宿泊「円（まどか）そば」,,,,3,,,,,true,,true,1|6|18
other05,羽依里としろはの島外デート,,岡山,港・交通,34.49346369011559,133.9525059734809,high,,,open,,宇野港,,,,3,,,,,true,true,true,16
other06,おっぱい岩,,熊本,ランドマーク,32.54031516190302,130.1121313620919,high,,,open,,熊本県天草郡のおっぱい岩,,,,3,,,,,true,,true,7
anime-op-3,振り返るしろは,,男木島,ランドマーク,34.42200466302806,134.0540363580637,high,,,open,,,,,,3,,,,,true,,true,OP
anime-op-5,海を見つめるしろは,,直島,ランドマーク,34.45620741294539,133.9737560881388,high,,,open,,,,,,3,,,,,true,,true,OP
anime-op-7,お昼寝から目覚める蒼,,男木島,ランドマーク,34.42604793590732,134.0558949198426,high,,,open,,,,,,3,,,,,true,,true,OP
anime-op-8,んん～……パーーージ！,,男木島,ランドマーク,34.42089442607833,134.0548164662086,high,,,open,,,,,,3,,,,,true,,true,OP
anime-ed-2,カマキリを見つめる鴎,,男木島,ランドマーク,34.42348140148948,134.055308001891,high,,,open,,,,,,3,,,,,true,,true,ED
anime-episode1-6,加藤家を目指して1,,男木島,ランドマーク,34.41999208754985,134.0591916903718,high,,,open,,,,,,3,,,,,true,,true,1
anime-episode1-7,加藤家を目指して2,,直島,ランドマーク,34.45203548175024,134.0015275112287,high,,,open,,,,,,3,,,,,true,,true,1
anime-episode1-11,加藤家を目指して6,,男木島,ランドマーク,34.42142686226297,134.0570213321717,high,,,open,,,,,,3,,,,,true,,true,1
anime-episode1-12,加藤家を目指して7,,直島,ランドマーク,34.4611569,133.997671,estimate,,,open,,,,,,3,,,,,true,,true,1
anime-episode2-5,さしずめ俺は,,直島,ランドマーク,34.45657997310529,133.9739404248273,high,,,open,,,,,,3,,,,,true,,true,2
anime-episode2-8,ハイドログラディエーター改だ,,男木島,ランドマーク,34.42194062960104,134.0544089182681,high,,,open,,,,,,3,,,,,true,,true,2
anime-episode3-3,初対面だよ,,男木島,ランドマーク,34.42159154057245,134.0569011934267,high,,,open,,,,,,3,,,,,true,,true,3
anime-episode3-4,やれやれ、びしょぬれだ,,男木島,ランドマーク,34.41999148262738,134.0610827889036,high,,,open,,,,,,3,,,,,true,,true,3
anime-episode4-1,ここでもなかったかぁ,,男木島,ランドマーク,34.42242337782203,134.0556820767079,high,,,open,,,,,,3,,,,,true,,true,4
anime-episode4-3,バジリスクが…,,男木島,ランドマーク,34.42230467112471,134.0558768441832,high,,,open,,,,,,3,,,,,true,,true,4
anime-episode4-4,いきなり言われても…困るよね,,女木島,ランドマーク,34.38998210351031,134.0529426173056,high,,,open,,,,,,3,,,,,true,,true,4
anime-episode7-2,もう少しで辿り着ける,,茨城,ランドマーク,36.40586828971402,140.59390651107907,high,,,open,,,,,,3,,,,,true,,true,7
anime-episode7-5,鷹原さん、今日は一日ありがとうございましたぁ,,男木島,ランドマーク,34.42107463033912,134.0572663997631,high,,,open,,,,,,3,,,,,true,,true,7
anime-episode7-6,手伝ってくれたパイリ君へのお礼に…,,男木島,ランドマーク,34.42212716461822,134.0570252521015,high,,,open,,,,,,3,,,,,true,,true,7
anime-episode8-1,わたあめのシーン,,男木島,ランドマーク,34.42224656462123,134.0562991159454,high,,,open,,,,,,3,,,,,true,,true,8
anime-episode9-1,神隠しだなんて,,男木島,ランドマーク,34.42265334097257,134.0563995111104,high,,,open,,,,,,3,,,,,true,,true,9
anime-episode9-3,見つめあう二人,,男木島,ランドマーク,34.43195822970703,134.0584060638056,high,,,open,,,,,,3,,,,,true,,true,9
anime-episode9-6,私…怖い,,男木島,ランドマーク,34.42126680938258,134.0548793331112,high,,,open,,,,,,3,,,,,true,,true,9
anime-episode10-1,なんだか面白くなりそう,,男木島,ランドマーク,34.42236331861555,134.05595989053,high,,,open,,,,,,3,,,,,true,,true,10
anime-episode11-1,送ってくれなくても大丈夫なのに,,男木島,ランドマーク,34.42159610956592,134.0566591002404,high,,,open,,,,,,3,,,,,true,,true,11
anime-episode11-3,あんたっていい奴なんだなって,,直島,ランドマーク,34.45834950797524,133.9748725686954,high,,,open,,,,,,3,,,,,true,,true,11
anime-episode14-1,ん？…こんなところに,,男木島,ランドマーク,34.42365658443757,134.0557203333708,high,,,open,,,,,,3,,,,,true,,true,14
anime-episode14-2,歌唱シーン①,,直島,ランドマーク,34.45631174433757,133.9755216193241,high,,,open,,,,,,3,,,,,true,,true,14
anime-episode15-2,なんでこんなになるまで外にいたんだ,,男木島,ランドマーク,34.42104650563603,134.0564988897767,high,,,open,,,,,,3,,,,,true,,true,15
anime-episode16-4,え、明日？,,直島,ランドマーク,34.45734303486492,133.9746697658539,high,,,open,,,,,,3,,,,,true,,true,16
anime-episode16-5,おまたせ,,直島,ランドマーク,34.45632079042861,133.9738410939812,high,,,open,,,,,,3,,,,,true,,true,16
anime-episode16-7,閉店,,直島,ランドマーク,34.4601033,133.9747638,estimate,,,open,,,,,,3,,,,,true,,true,16
anime-episode18-2,自販機前,,直島,ランドマーク,34.46123929197241,133.9987072041302,high,,,open,,,,,,3,,,,,true,,true,18
anime-episode19-1,今日はありがとな,,男木島,ランドマーク,34.42150745378056,134.0569445305191,high,,,open,,,,,,3,,,,,true,,true,19
anime-episode19-3,当たったな、羽未の天気予報,,男木島,ランドマーク,34.42246558036329,134.0570701860892,high,,,open,,,,,,3,,,,,true,,true,19
anime-episode26-1,すれ違う羽依里としろは,,直島,ランドマーク,34.45716863759245,133.975514275197,high,,,open,,,,,,3,,,,,true,,true,26
new-naoshima-1,羽未のキービジュアル,,直島,ランドマーク,34.4552819,133.9994817,high,,,open,,,,,,3,,,,,,true,true,
new-ogijima-2,ツムギの回想,,男木島,ランドマーク,34.4319937,134.0584041,high,,,open,,,,,座標はGoogle My Mapsピン「見つめあう二人」を参照,3,,,,,true,true,true,
new-ogijima-3,鴎とカマキリ,,男木島,ランドマーク,34.4234736,134.0553185,high,,,open,,,,,座標はGoogle My Mapsピン「EDの鴎」を参照,3,,,,,true,,true,
new-ogijima-4,夜道を歩く羽依里,,男木島,ランドマーク,34.4236285,134.0557367,high,,,open,,,,,座標はGoogle My Mapsピン「ん？…こんなところに」を参照,3,,,,,true,,true,
new-ogijima-5,鴎と鍵探し,,男木島,ランドマーク,34.422423,134.0556735,high,,,open,,,,,座標はGoogle My Mapsピン「ここでもなかったかぁ」を参照,3,,,,,true,true,true,
new-ogijima-6,当たる天気予報,,男木島,ランドマーク,34.4223941,134.0571157,high,,,open,,,,,座標はGoogle My Mapsピン「当たったな、羽未の天気予報」を参照,3,,,,,true,,true,
new-ogijima-7,紬と静久と,,男木島,ランドマーク,34.4220835,134.0569959,high,,,open,,,,,座標はGoogle My Mapsピン「手伝ってくれたパイリ君へのお礼に…」を参照,3,,,,,true,,true,
new-ogijima-8,蒼を送る羽依里,,男木島,ランドマーク,34.4216275,134.0566733,high,,,open,,,,,座標はGoogle My Mapsピン「送ってくれなくても」を参照,3,,,,,true,,true,
new-ogijima-9,しろはを自宅へ連れ帰る羽依里,,男木島,ランドマーク,34.4211735,134.0565142,high,,,open,,,,,座標はGoogle My Mapsピン「なんでこんなになるまで外にいたんだ」を参照,3,,,,,true,,true,
new-ogijima-10,スーツケースと鴎,,男木島,ランドマーク,34.4215647,134.0569012,high,,,open,,,,,座標はGoogle My Mapsピン「初対面だよ？」を参照,3,,,,,true,,true,
new-ogijima-11,夕焼けの帰り道,,男木島,ランドマーク,34.4214188,134.0570118,high,,,open,,,,,座標はGoogle My Mapsピン「今日はありがとな」を参照,3,,,,,true,,true,
new-ogijima-12,加藤家を目指す羽依里,,男木島,ランドマーク,34.4213815,134.0570414,high,,,open,,,,,座標はGoogle My Mapsピン「加藤家を目指して6」を参照,3,,,,,true,,true,OP
new-ogijima-13,夕焼けの帰り道②,,男木島,ランドマーク,34.4210662,134.0572653,high,,,open,,,,,座標はGoogle My Mapsピン「鷹原さん、今日は一日ありがとうございましたぁ」を参照,3,,,,,true,,true,
new-ogijima-14,静久と羽依里,,男木島,ランドマーク,34.421243,134.0548474,high,,,open,,,,,座標はGoogle My Mapsピン「私、怖い…」を参照,3,,,,,true,,true,
mainvisual,メインビジュアル,,直島,ランドマーク,34.4571376,133.9743309,high,,,open,,,,,,3,,,,,,,true,
